,load,type,compressor,iteration,avg_time,std_dev,min_time,max_time,q1,median_time,q3,iqr,lower_whisker,upper_whisker,num_outliers
13,IRIS-HABER,LOGIC,PPMD,5,0.852801322937011,0.0,0.852801322937011,0.852801322937011,0.852801322937011,0.852801322937011,0.852801322937011,0.0,0.852801322937011,0.852801322937011,0.0
14,IRIS-HABER,LOGIC,WEBP,11,5.499980211257935,0.0,5.499980211257935,5.499980211257935,5.499980211257935,5.499980211257935,5.499980211257935,0.0,5.499980211257935,5.499980211257935,0.0
15,IRIS-HABER,LOGIC,ZLIB,1,0.30735158920288,0.0,0.30735158920288,0.30735158920288,0.30735158920288,0.30735158920288,0.30735158920288,0.0,0.30735158920288,0.30735158920288,0.0
16,IRIS-HABER,MEMORY,BZ2,13,1.914084911346435,0.0,1.914084911346435,1.914084911346435,1.914084911346435,1.914084911346435,1.914084911346435,0.0,1.914084911346435,1.914084911346435,0.0
17,IRIS-HABER,MEMORY,ENTROPY,8,1.094268083572387,0.0,1.094268083572387,1.094268083572387,1.094268083572387,1.094268083572387,1.094268083572387,0.0,1.094268083572387,1.094268083572387,0.0
18,IRIS-HABER,MEMORY,GZIP,16,5.120441675186157,0.0,5.120441675186157,5.120441675186157,5.120441675186157,5.120441675186157,5.120441675186157,0.0,5.120441675186157,5.120441675186157,0.0
19,IRIS-HABER,MEMORY,JP2,15,6.789283037185669,0.0,6.789283037185669,6.789283037185669,6.789283037185669,6.789283037185669,6.789283037185669,0.0,6.789283037185669,6.789283037185669,0.0
20,IRIS-HABER,MEMORY,PNG,13,4.18329930305481,0.0,4.18329930305481,4.18329930305481,4.18329930305481,4.18329930305481,4.18329930305481,0.0,4.18329930305481,4.18329930305481,0.0
21,IRIS-HABER,MEMORY,PPMD,13,1.802662372589111,0.0,1.802662372589111,1.802662372589111,1.802662372589111,1.802662372589111,1.802662372589111,0.0,1.802662372589111,1.802662372589111,0.0
22,IRIS-HABER,MEMORY,WEBP,-1,17.270176649093628,0.0,17.270176649093628,17.270176649093628,17.270176649093628,17.270176649093628,17.270176649093628,0.0,17.270176649093628,17.270176649093628,0.0
23,IRIS-HABER,MEMORY,ZLIB,18,2.874231100082397,0.0,2.874231100082397,2.874231100082397,2.874231100082397,2.874231100082397,2.874231100082397,0.0,2.874231100082397,2.874231100082397,0.0
24,IRIS-HABER,ANOTHER-CONTROL,BZ2,-1,5.211745977401733,0.0,5.211745977401733,5.211745977401733,5.211745977401733,5.211745977401733,5.211745977401733,0.0,5.211745977401733,5.211745977401733,0.0
25,IRIS-HABER,ANOTHER-CONTROL,ENTROPY,-1,4.639150142669678,0.0,4.639150142669678,4.639150142669678,4.639150142669678,4.639150142669678,4.639150142669678,0.0,4.639150142669678,4.639150142669678,0.0
26,IRIS-HABER,ANOTHER-CONTROL,GZIP,-1,9.060847997665405,0.0,9.060847997665405,9.060847997665405,9.060847997665405,9.060847997665405,9.060847997665405,0.0,9.060847997665405,9.060847997665405,0.0
27,IRIS-HABER,ANOTHER-CONTROL,JP2,11,7.871674299240112,0.0,7.871674299240112,7.871674299240112,7.871674299240112,7.871674299240112,7.871674299240112,0.0,7.871674299240112,7.871674299240112,0.0
28,IRIS-HABER,ANOTHER-CONTROL,PNG,-1,13.48963189125061,0.0,13.48963189125061,13.48963189125061,13.48963189125061,13.48963189125061,13.48963189125061,0.0,13.48963189125061,13.48963189125061,0.0
29,IRIS-HABER,ANOTHER-CONTROL,PPMD,-1,5.569953680038452,0.0,5.569953680038452,5.569953680038452,5.569953680038452,5.569953680038452,5.569953680038452,0.0,5.569953680038452,5.569953680038452,0.0
30,IRIS-HABER,ANOTHER-CONTROL,WEBP,12,6.805943489074707,0.0,6.805943489074707,6.805943489074707,6.805943489074707,6.805943489074707,6.805943489074707,0.0,6.805943489074707,6.805943489074707,0.0
31,IRIS-HABER,ANOTHER-CONTROL,ZLIB,-1,4.945632219314575,0.0,4.945632219314575,4.945632219314575,4.945632219314575,4.945632219314575,4.945632219314575,0.0,4.945632219314575,4.945632219314575,0.0
